participant_code,timestamp,interval,red,green,white,black
20190328_11_0,1528201391044,758954,1,0,0,0
20190328_11_0,1528201391498,454,0,0,0,0
20190328_11_0,1528201392201,703,0,0,1,0
20190328_11_0,1528201392603,402,0,0,0,0
20190328_11_0,1528201393608,1005,0,0,0,1
20190328_11_0,1528201395063,1455,0,1,0,1
20190328_11_0,1528201396019,956,0,1,0,0
20190328_11_0,1528201396070,51,0,0,0,0
20190328_11_0,1528201397325,1255,0,0,0,1
20190328_11_0,1528201397478,153,1,0,0,1
20190328_11_0,1528201398730,1252,0,0,0,0
20190328_11_0,1528201399232,502,0,1,0,0
20190328_11_0,1528201399434,202,0,1,1,0
20190328_11_0,1528201406308,6874,0,0,1,0
20190328_11_0,1528201406414,106,0,0,0,0
20190328_11_0,1528201407167,753,0,0,1,0
20190328_11_0,1528201407722,555,0,1,1,0
20190328_11_0,1528201408875,1153,0,1,0,0
20190328_11_0,1528201409078,203,0,0,0,0
20190328_11_0,1528201409682,604,0,0,1,0
20190328_11_0,1528201409733,51,0,1,1,0
20190328_11_0,1528201411087,1354,0,0,1,0
20190328_11_0,1528201411140,53,0,0,0,0
20190328_11_0,1528201415051,3911,0,1,0,0
20190328_11_0,1528201415555,504,0,1,1,0
20190328_11_0,1528201418214,2659,0,0,1,0
20190328_11_0,1528201418316,102,0,0,0,0
20190328_11_0,1528201418919,603,0,1,1,0
20190328_11_0,1528201419722,803,0,0,0,0
20190328_11_0,1528201420727,1005,0,1,0,0
20190328_11_0,1528201420829,102,0,1,1,0
20190328_11_0,1528201421482,653,0,1,0,0
20190328_11_0,1528201421835,353,0,1,1,0
20190328_11_0,1528201429206,7371,0,1,0,0
20190328_11_0,1528201429459,253,0,1,1,0
20190328_11_0,1528201436679,7220,0,0,1,0
20190328_11_0,1528201436830,151,0,0,0,0
