participant_code,timestamp,interval,red,green,white,black
20190424_29_3,1528239677327,585501,1,0,1,0
20190424_29_3,1528239677629,302,0,0,0,0
20190424_29_3,1528239679184,1555,1,1,0,0
20190424_29_3,1528239679537,353,1,0,0,0
20190424_29_3,1528239679590,53,0,0,0,0
20190424_29_3,1528239682198,2608,0,0,1,1
20190424_29_3,1528239682251,53,1,1,1,1
20190424_29_3,1528239682605,354,1,1,0,0
20190424_29_3,1528239682656,51,0,0,0,0
20190424_29_3,1528239684613,1957,0,1,0,0
20190424_29_3,1528239684966,353,0,0,0,0
20190424_29_3,1528239687525,2559,0,1,1,0
20190424_29_3,1528239687827,302,1,1,1,0
20190424_29_3,1528239688229,402,1,1,0,0
20190424_29_3,1528239688282,53,0,1,0,0
20190424_29_3,1528239688540,258,0,0,0,0
20190424_29_3,1528239688746,206,0,1,0,0
20190424_29_3,1528239688898,152,1,1,0,0
20190424_29_3,1528239688950,52,1,1,1,0
20190424_29_3,1528239689404,454,0,1,0,0
20190424_29_3,1528239689506,102,0,0,0,0
20190424_29_3,1528239691261,1755,0,0,0,1
20190424_29_3,1528239691363,102,0,1,0,1
20190424_29_3,1528239691465,102,0,1,1,1
20190424_29_3,1528239691971,506,0,1,0,0
20190424_29_3,1528239692022,51,0,0,0,0
20190424_29_3,1528239693428,1406,1,0,0,0
20190424_29_3,1528239693682,254,1,1,0,0
20190424_29_3,1528239694787,1105,0,0,0,0
20190424_29_3,1528239696142,1355,1,0,0,0
20190424_29_3,1528239696248,106,1,0,1,0
20190424_29_3,1528239696900,652,0,0,1,0
20190424_29_3,1528239697204,304,0,0,0,0
20190424_29_3,1528239699965,2761,0,0,1,0
20190424_29_3,1528239700121,156,0,1,1,0
20190424_29_3,1528239700227,106,1,1,1,0
20190424_29_3,1528239700733,506,1,1,0,0
20190424_29_3,1528239700788,55,0,1,0,0
20190424_29_3,1528239700841,53,0,0,0,0
20190424_29_3,1528239701957,1116,0,0,1,0
20190424_29_3,1528239702061,104,1,0,1,0
20190424_29_3,1528239702263,202,1,1,1,0
