ID	Birth date	Testing date	Experimenter(s)	Age months	Age years	Gender	Condition	Location	Offset first look away	Offset 3 sec no activity	Offset other toy	Offset first call 	Start	End	Time to first activation	activation	combos_total	How many diverse combinations - total	How many combinations before first activation 	How many combinations - 1 switch	How many diverse combinations - 1 switch		How many combinations - 1 switch	How many diverse combinations - 1 switch	How many combinations - 2 switches	How many diverse combinations - 2 switches	How many combinations - 3 switches	How many diverse combinations - 3 switches	How many combinations - 4 switches	How many diverse combinations - 4 switches		Demonstration (Y/N)	Explanation (Y/N)	Offering positive alternatives (number)	Offering negative alternatives (number)	Coder 1	Coder 2	problematic	Comments
19	05.07.2011	18.07.2017	Konstantin, Annalena	72	6	m	C1	Blossin	00:00:42	00:00:44	00:02:00	00:00:50	00:00:44	00:02:44	00:02:00	N	13		x													N	N	0	5	Nadin		F	
20	27.09.2011	18.07.2017	Konstantin, Annalena	70	5;10	w	C3	Blossin	00:00:07	00:00:36	00:02:00	00:02:00	00:00:35	00:01:36	00:00:17	Y	6		2													Y	Y	1	0	Nadin		F	
21	15.11.2010	18.07.2017	Konstantin, Annalena	80	6;8	m	C1	Blossin	00:00:09	00:00:23	00:02:00	00:02:00	00:00:36	00:02:46	00:01:45	Y	20		16													Y	Y	1	1	Nadin		F	
22	03.12.2010	18.07.2017	Konstantin, Annalena	79	6;7	w	C4	Blossin	00:01:03	00:02:00	00:02:00	00:02:00	00:00:35	00:02:57	00:00:03	Y	70		1													Y	Y	1	0	Nadin		F	
23	03.01.2011	18.07.2017	Konstantin, Annalena	78	6;6	w	C2	Blossin	00:00:12	00:02:00	00:02:00	00:02:00	00:00:36	00:02:58	00:02:00	N	54		x													N	N	0	0	Nadin		F	
24	18.08.2011	18.07.2017	Konstantin, Annalena	71	5;11	m	C3	Blossin	00:00:25	00:00:28	00:02:00	00:02:00	00:00:39	00:01:26	00:00:14	Y	24		2													Y	Y	2	0	Nadin		F	
25	08.10.2010	18.07.2017	Konstantin, Annalena	81	6;9	w	C1	Blossin	00:00:12	00:02:00	00:02:00	00:02:00	00:00:27	00:02:33	00:00:07	Y	55		2													Y	Y	1	0	Nadin		F	
26	26.10.2010	18.07.2017	Konstantin, Annalena	77	6;5	m	C3	Blossin	00:00:44	00:02:00	00:02:00	00:01:02	00:00:28	00:01:29	00:00:37	Y	16		10													Y	Y	1	1	Nadin		F	
27	02.05.2009	24.07.2017	Nadin, Klara, Konstantin	98	8;2	m	C4	Blossin	00:00:36	00:00:36	00:02:00	00:02:00	00:00:53	00:02:03	00:00:00	Y	29		0													Y	Y	1	1	Sarah		F	
28	13.06.2008	24.07.2017	Nadin, Klara, Konstantin	109	9;1	w	C2	Blossin	00:00:09	00:00:18	00:02:00	00:02:00	00:00:43	00:03:01	00:00:32	Y	22		5													Y	Y	1	0	Sarah		F	
